init done.
mergeSuperPixels: FAILURE
addImage: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
addImage: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
resetLabelScore: INVALID_INPUT
addImage: SUCCESS
setLabelScore: SUCCESS
setLabelScore: FAILURE
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
mergeSuperPixels: INVALID_INPUT
addImage: INVALID_INPUT
addImage: FAILURE
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
getHighestScoredLabel: FAILURE
addImage: SUCCESS
deleteImage: SUCCESS
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
addImage: SUCCESS
deleteImage: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
setLabelScore: FAILURE
mergeSuperPixels: INVALID_INPUT
addImage: SUCCESS
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
addImage: SUCCESS
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
addImage: FAILURE
getHighestScoredLabel: FAILURE
getHighestScoredLabel: FAILURE
resetLabelScore: FAILURE
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
getHighestScoredLabel: INVALID_INPUT
mergeSuperPixels: SUCCESS
addImage: FAILURE
addImage: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
setLabelScore: INVALID_INPUT
addImage: SUCCESS
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
setLabelScore: SUCCESS
setLabelScore: INVALID_INPUT
mergeSuperPixels: FAILURE
getHighestScoredLabel: FAILURE
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
setLabelScore: FAILURE
mergeSuperPixels: SUCCESS
addImage: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
addImage: FAILURE
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: INVALID_INPUT
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
addImage: SUCCESS
setLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
addImage: FAILURE
addImage: SUCCESS
resetLabelScore: INVALID_INPUT
addImage: SUCCESS
deleteImage: INVALID_INPUT
addImage: SUCCESS
getHighestScoredLabel: INVALID_INPUT
setLabelScore: SUCCESS
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
addImage: SUCCESS
resetLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
getHighestScoredLabel: FAILURE
deleteImage: INVALID_INPUT
setLabelScore: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
deleteImage: FAILURE
resetLabelScore: INVALID_INPUT
addImage: SUCCESS
setLabelScore: SUCCESS
addImage: FAILURE
mergeSuperPixels: INVALID_INPUT
mergeSuperPixels: SUCCESS
mergeSuperPixels: INVALID_INPUT
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
mergeSuperPixels: INVALID_INPUT
mergeSuperPixels: INVALID_INPUT
setLabelScore: SUCCESS
setLabelScore: INVALID_INPUT
addImage: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
addImage: INVALID_INPUT
mergeSuperPixels: SUCCESS
mergeSuperPixels: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
addImage: SUCCESS
mergeSuperPixels: SUCCESS
setLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
addImage: FAILURE
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
mergeSuperPixels: INVALID_INPUT
resetLabelScore: INVALID_INPUT
setLabelScore: FAILURE
getHighestScoredLabel: INVALID_INPUT
setLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: INVALID_INPUT
resetLabelScore: FAILURE
getHighestScoredLabel: FAILURE
getHighestScoredLabel: FAILURE
setLabelScore: INVALID_INPUT
addImage: SUCCESS
getHighestScoredLabel: FAILURE
resetLabelScore: FAILURE
getHighestScoredLabel: FAILURE
setLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
mergeSuperPixels: INVALID_INPUT
resetLabelScore: FAILURE
setLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: INVALID_INPUT
getHighestScoredLabel: FAILURE
mergeSuperPixels: INVALID_INPUT
setLabelScore: SUCCESS
mergeSuperPixels: INVALID_INPUT
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
addImage: SUCCESS
resetLabelScore: INVALID_INPUT
resetLabelScore: FAILURE
addImage: FAILURE
mergeSuperPixels: FAILURE
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
addImage: FAILURE
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
addImage: SUCCESS
getHighestScoredLabel: INVALID_INPUT
mergeSuperPixels: INVALID_INPUT
addImage: SUCCESS
resetLabelScore: INVALID_INPUT
mergeSuperPixels: INVALID_INPUT
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
addImage: SUCCESS
addImage: SUCCESS
resetLabelScore: INVALID_INPUT
addImage: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: FAILURE
resetLabelScore: INVALID_INPUT
mergeSuperPixels: INVALID_INPUT
setLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
addImage: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
addImage: INVALID_INPUT
getHighestScoredLabel: INVALID_INPUT
resetLabelScore: INVALID_INPUT
addImage: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
deleteImage: SUCCESS
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
resetLabelScore: FAILURE
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
resetLabelScore: FAILURE
setLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
getHighestScoredLabel: FAILURE
mergeSuperPixels: INVALID_INPUT
addImage: SUCCESS
mergeSuperPixels: SUCCESS
addImage: SUCCESS
addImage: SUCCESS
addImage: INVALID_INPUT
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
resetLabelScore: FAILURE
addImage: INVALID_INPUT
resetLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
addImage: FAILURE
setLabelScore: SUCCESS
addImage: FAILURE
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
deleteImage: INVALID_INPUT
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
getHighestScoredLabel: FAILURE
setLabelScore: SUCCESS
addImage: INVALID_INPUT
mergeSuperPixels: SUCCESS
addImage: INVALID_INPUT
mergeSuperPixels: SUCCESS
addImage: SUCCESS
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
addImage: FAILURE
addImage: SUCCESS
setLabelScore: INVALID_INPUT
addImage: FAILURE
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
resetLabelScore: FAILURE
getHighestScoredLabel: FAILURE
resetLabelScore: FAILURE
setLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: INVALID_INPUT
mergeSuperPixels: SUCCESS
addImage: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
addImage: SUCCESS
getHighestScoredLabel: FAILURE
mergeSuperPixels: SUCCESS
mergeSuperPixels: FAILURE
setLabelScore: FAILURE
getHighestScoredLabel: FAILURE
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
addImage: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
setLabelScore: FAILURE
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: FAILURE
mergeSuperPixels: SUCCESS
addImage: SUCCESS
addImage: INVALID_INPUT
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
resetLabelScore: FAILURE
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
resetLabelScore: INVALID_INPUT
addImage: INVALID_INPUT
addImage: INVALID_INPUT
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
deleteImage: INVALID_INPUT
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
setLabelScore: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
getHighestScoredLabel: FAILURE
mergeSuperPixels: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
setLabelScore: INVALID_INPUT
mergeSuperPixels: INVALID_INPUT
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
addImage: SUCCESS
setLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
resetLabelScore: FAILURE
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
addImage: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
addImage: INVALID_INPUT
setLabelScore: SUCCESS
addImage: INVALID_INPUT
resetLabelScore: INVALID_INPUT
resetLabelScore: INVALID_INPUT
getHighestScoredLabel: FAILURE
deleteImage: INVALID_INPUT
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
addImage: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
mergeSuperPixels: SUCCESS
addImage: SUCCESS
setLabelScore: SUCCESS
setLabelScore: FAILURE
getHighestScoredLabel: FAILURE
mergeSuperPixels: SUCCESS
resetLabelScore: FAILURE
addImage: SUCCESS
setLabelScore: INVALID_INPUT
mergeSuperPixels: FAILURE
setLabelScore: SUCCESS
resetLabelScore: INVALID_INPUT
setLabelScore: INVALID_INPUT
setLabelScore: SUCCESS
addImage: SUCCESS
setLabelScore: INVALID_INPUT
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
addImage: INVALID_INPUT
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
addImage: SUCCESS
mergeSuperPixels: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
getHighestScoredLabel: FAILURE
setLabelScore: FAILURE
mergeSuperPixels: SUCCESS
resetLabelScore: INVALID_INPUT
addImage: SUCCESS
resetLabelScore: FAILURE
deleteImage: INVALID_INPUT
getHighestScoredLabel: FAILURE
setLabelScore: SUCCESS
setLabelScore: SUCCESS
setLabelScore: SUCCESS
mergeSuperPixels: SUCCESS
mergeSuperPixels: INVALID_INPUT
setLabelScore: SUCCESS
addImage: SUCCESS
resetLabelScore: FAILURE
mergeSuperPixels: SUCCESS
addImage: INVALID_INPUT
addImage: FAILURE
resetLabelScore: INVALID_INPUT
mergeSuperPixels: INVALID_INPUT
